RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract�
covidestim: COVID-19 nowcasting https://t.co/WrqpdbNmRu 2 weeks to flatten the curve? https://t.co/f4Ydg90xpr
Canadian inflation hit a new three-decade high in January, heaping more pressure on the Bank of Canada to raise int� https://t.co/vsKOIU06d2
2022-02-17 18:37:02+00:00,b'RT @ShaheenPravin: This is how they are following COVID-19 protocols!\nWOW \xf0\x9f\x99\x82\n\n@UnivofDelhi @ndtv @dpradhanbjp @MoHFW_INDIA @ugc_india \n\n#Hyb\xe2\x80\xa6'

2022-02-17 18:37:01+00:00,b'RT @inquirerdotnet: A new study strengthens suspicions that the female hormone estrogen protects against death from COVID-19. https://t.co/\xe2\x80\xa6'

2022-02-17 18:36:59+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:59+00:00,b'@staffilad Extrapolate those figures. If your chance of dying in a car accident and COVID are as above but you will\xe2\x80\xa6 https://t.co/SVSfbVPSBA'

2022-02-17 18:36:57+00:00,"b'\'Dr. Dror Dicker, Director of Department of Internal Medicine D Corona at Hasharon Hospital, said: ""Lately we are s\xe2\x80\xa6 https://t.co/ZHns4zrCTS'"

2022-02-17 18:36:57+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 18:36:56+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:56+00:00,b'Report on the COVID 19 Vaccination Coverage across Health Unit district wise in Tamil Nadu as on\xc2\xa007.02.2022 https://t.co/t3paJXKnJA'

2022-02-17 18:36:55+00:00,"b'RT @AP: Police have poured into downtown Ottawa, where protests against COVID-19 measures have clogged the streets for nearly three weeks.\xe2\x80\xa6'"

2022-02-17 18:36:54+00:00,b'#Corona Info for #Germany:\nNew Cases: 138897\nToday Recovery: 167600\nToday Deaths: 138\nTotal Active Cases: 3623784\nT\xe2\x80\xa6 https://t.co/OOHQqjNmo5'

2022-02-17 18:36:54+00:00,"b""@dgolding @bgirlla @SunandSipCups @slyarak @NoahTzedek @jfeldman_epi A full 9/11's worth of people are dying every\xe2\x80\xa6 https://t.co/sWb8H6lfwi"""

2022-02-17 18:36:53+00:00,"b'RT @newsroom_the: As COVID-19 Crashes Across Solomon Islands, Vaccines Must Be Available to All \xe2\x80\x93 The Diplomat https://t.co/K0c5SHdTV0'"

2022-02-17 18:36:52+00:00,b'RT @danielgoyal: 6/10\nSilent Hypoxia\nCovid-19 pneumonia sometimes causes low oxygen levels without the feeling of breathlessness. It requir\xe2\x80\xa6'

2022-02-17 18:36:51+00:00,"b'RT @Sean_Shinil_Kim: If you are wondering why the world has suddenly changed its vaccine narrative today, this is why. This is probably the\xe2\x80\xa6'"

2022-02-17 18:36:51+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 18:36:49+00:00,"b'RT @MichaelJWidener: Check out this article by @rebeccaga0 where I, along with other experts, give some commentary on the COVID-19 related\xe2\x80\xa6'"

2022-02-17 18:36:48+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:48+00:00,"b'Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk https://t.co/S4GYr3EXiO via @UKChange'"

2022-02-17 18:36:48+00:00,"b'RT @CristinaNcl: Novak Djokovic likely to be allowed to play in Italian Open, say officials \nThe cabinet undersecretary added that she did\xe2\x80\xa6'"

2022-02-17 18:36:47+00:00,"b'@CPInst @chiproytx @RepChipRoy @tperkins @FoxNews Let us now pray for the families of 919,000 Americans dead from C\xe2\x80\xa6 https://t.co/r8mboXyUU8'"

2022-02-17 18:36:46+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 18:36:46+00:00,"b'I would predict 10,000 a day by end of Feb (If we can keep up with the tests) peaking at 16-20,000 in the first wee\xe2\x80\xa6 https://t.co/OGCiHEemuP'"

2022-02-17 18:36:46+00:00,b'RT @billboard: Yeonjun of K-pop group TOMORROW x TOGETHER has tested positive for COVID-19.  https://t.co/OjCI9RNVrs'

2022-02-17 18:36:46+00:00,"b'#Covid vaccine: No doubt over safety of Covid-19 vaccine, says head of UK regulator https://t.co/wjRceAWDYi\xe2\x80\xa6 https://t.co/O5ddKBDVQv'"

2022-02-17 18:36:44+00:00,"b'RT @CNN: At their peak, weekly pediatric Covid-19 hospitalization rates were four times higher during a period of Omicron dominance than du\xe2\x80\xa6'"

2022-02-17 18:36:44+00:00,"b""3/ The Mid-term are about domestic issues, and Biden won't win Republican voters who are entirely engaged on cultur\xe2\x80\xa6 https://t.co/4d6DpGxkMA"""

2022-02-17 18:36:43+00:00,b'RT @EssexPR: Vaccinate the vulnerable turned into vaccinate anything that moves.\nIt was either the plan from the off and they lied or they\xe2\x80\xa6'

2022-02-17 18:36:42+00:00,b'RT @wef: COVID-19 has locked children out of their education with girls at highest risk https://t.co/LtFBPVrrNP https://t.co/Hgt9BaYis7'

2022-02-17 18:36:42+00:00,"b'RT @BenBradleyTV: .@ChiPublicHealth is now posting more Covid data on its website, including this chart comparing hospitalizations among th\xe2\x80\xa6'"

2022-02-17 18:36:41+00:00,b'@CR7even_ @ChelseaFC I went for my COVID-19 vaccination today. I had to register so I reached into my bag to look f\xe2\x80\xa6 https://t.co/LjK0iPDt66'

2022-02-17 18:36:41+00:00,"b'RT @FDADeviceInfo: Attention SARS-CoV-2 test developers: the Virtual Town Hall Series will take place on Wednesday February 23, 2022 12:15-\xe2\x80\xa6'"

2022-02-17 18:36:41+00:00,b'A clinical trial regional director filed a $2 billion lawsuit against Pfizer and BioNTech alleging the pharmaceutic\xe2\x80\xa6 https://t.co/GoNZkUnY7i'

2022-02-17 18:36:41+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:41+00:00,b'RT @twpiggott: The same measures that slowed COVID-19 decimated influenza transmission. Zero influenza deaths in 3 years. We need to stay h\xe2\x80\xa6'

2022-02-17 18:36:40+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 18:36:40+00:00,b'RT @msdcenter: Learn more about COVID-19 Myth vs. Fact in this TX RPC report: https://t.co/xdtu2NyQu2 https://t.co/zI8dyUvB4V'

2022-02-17 18:36:40+00:00,"b'RT @_Nixo: New: On the day @GavinNewsom is unveiling California\xe2\x80\x99s \xe2\x80\x9cendemic plan,\xe2\x80\x9d Senate leader @SenToniAtkins announces a resolution by GO\xe2\x80\xa6'"

2022-02-17 18:36:39+00:00,"b'More than 1 million excess deaths in the US during the pandemic so far. They are mainly attributable to Covid-19, a\xe2\x80\xa6 https://t.co/BxW8waiZQ7'"

2022-02-17 18:36:39+00:00,"b'.@jess_hulsey1 writes that the vulnerabilities for Black Americans to COVID-19, overdose, and poor addiction treatm\xe2\x80\xa6 https://t.co/7aByH1aP7K'"

2022-02-17 18:36:38+00:00,b'RT @Patriotgirl0000: Did I read this right?\n\n\xe2\x80\x9cunvaccinated truckers bringing COVID-19 vaccines and medical devices into Canada exempt from\xe2\x80\xa6'

2022-02-17 18:36:38+00:00,"b'RT @StevenDelDuca: The approval of the Novavax vaccine is great news. The more vaccines we have, the better. They are the most effective to\xe2\x80\xa6'"

2022-02-17 18:36:35+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 18:36:35+00:00,"b""Panther Basketball Schedule change:\n\n\xe2\x80\x93 Friday's women's basketball game vs. UNB has been POSTPONED (COVID-19 relate\xe2\x80\xa6 https://t.co/gLfvYGbhFL"""

2022-02-17 18:36:34+00:00,b'Does vitamin D supplementation reduce COVID-19 severity? - a systematic review https://t.co/5ni5h4GOHP'

2022-02-17 18:36:34+00:00,"b""RT @Newsweek: Canadian police are pouring into downtown Ottawa to start cracking down on the truckers who have been occupying the city's st\xe2\x80\xa6"""

2022-02-17 18:36:34+00:00,b'RT @Magda_Skipper: History shows us that pandemics disable people \xe2\x80\x94 Why the complacency over possible long-term effects of COVID-19?  \n#lon\xe2\x80\xa6'

2022-02-17 18:36:34+00:00,"b'RT @BucksCouncil: You can attend the  Mass Vaccination Centre on any other day as a walk-in appointment, or please feel free to rearrange o\xe2\x80\xa6'"

2022-02-17 18:36:34+00:00,"b""RT @Newsweek: Canadian police are pouring into downtown Ottawa to start cracking down on the truckers who have been occupying the city's st\xe2\x80\xa6"""

2022-02-17 18:36:34+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:33+00:00,b'RT @katadhall: GET A BOOST: @GovLarryHogan announces that @MDHealthDept will begin offering COVID-19 vaccinations at Maryland\xe2\x80\x99s six casinos\xe2\x80\xa6'

2022-02-17 18:36:33+00:00,"b'RT @yeonfarie: when beomgyu said FUCK COVID 19, he mean it and i support him https://t.co/oFka6SUtft'"

2022-02-17 18:36:32+00:00,"b'RT @MSNBC: ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,"" @AriMelber says on the cur\xe2\x80\xa6'"

2022-02-17 18:36:32+00:00,"b'Which means that 70% of Canadians DON\'T say ""it\'s time to learn to live with COVID-19"".\n\nSkewed ""reporting"".\n\nDisgu\xe2\x80\xa6 https://t.co/8kv8rWfvZN'"

2022-02-17 18:36:30+00:00,"b'RT @News24: A common question that is asked is why, if scientists and doctors are so confident the Covid-19 vaccine works, are they still s\xe2\x80\xa6'"

2022-02-17 18:36:29+00:00,b'@eternalliberal I received two Covid-19 tests in the mail. Thank you Mr. Biden \xf0\x9f\x91\x8f!'

2022-02-17 18:36:29+00:00,b'RT @ajacquitaylor: 2) A document just released by the U.S. Food and Drug Administration (FDA) openly admits that the infamous PCR test for\xe2\x80\xa6'

2022-02-17 18:36:28+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:28+00:00,b'RT @theAliceRoberts: The endemic delusion. \nhttps://t.co/UUh1IaCyOk'

2022-02-17 18:36:27+00:00,"b""@MissMiaShelby Oh, self-diagnosis. \xf0\x9f\x98\x84\xf0\x9f\xa4\xad\nSo it could be a cold or an allergy or Covid-19 or or or...\n\nPlease don't be\xe2\x80\xa6 https://t.co/YsJOUNZjkG"""

2022-02-17 18:36:26+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'

2022-02-17 18:36:26+00:00,"b'RT @realDailyWire: Twin Brothers Ran $1M COVID-19 Scheme, Bought Camaro And Crypto: DOJ https://t.co/CQ6ZHQGSIv https://t.co/UhBUp76UAH'"

2022-02-17 18:36:25+00:00,"b'RT @ChiPublicHealth: COVID-19 Daily Update:\nDaily averages, updated: February 16\nConfirmed Cases: 389\nHospitalizations: 31\nDeaths: 7.43\nTes\xe2\x80\xa6'"

2022-02-17 18:36:24+00:00,"b""RT @CBCIndigenous: As Ontario lifts more COVID-19 restrictions, First Nations in the province's north are still grappling with the Omicron\xe2\x80\xa6"""

2022-02-17 18:36:24+00:00,"b'RT @PennLive: Pa. refocuses on addiction crisis, which was worsened by COVID-19 https://t.co/bQHfha0vl0'"

2022-02-17 18:36:24+00:00,"b'""The countries with lower mortality rates had markedly higher consumption of fermented vegetables (e.g. sauerkraut\xe2\x80\xa6 https://t.co/ZjQ7jhcjlA'"

2022-02-17 18:36:23+00:00,b'RT @NIH: News: Scientists pinpoint mechanisms associated with severe COVID-19 blood clotting https://t.co/DdYywulhXt'

2022-02-17 18:36:22+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:36:22+00:00,"b""RT @adegrandpre: 'Scientists have said there is no evidence that BA.2 is more lethal than BA.1, though BA.2 could slow Omicron\xe2\x80\x99s decline. V\xe2\x80\xa6"""

2022-02-17 18:36:21+00:00,b'RT @jsolomonReports: Biden administration says additional $30 billion in funding necessary to continue fighting COVID-19 | Just The News ht\xe2\x80\xa6'

2022-02-17 18:36:21+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'

2022-02-17 18:36:17+00:00,"b'RT @MSNBC: ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,"" @AriMelber says on the cur\xe2\x80\xa6'"

2022-02-17 18:36:15+00:00,"b'A major thank you to Dr. Katherine Wu (@KatherineJWu), who led a phenomenal Q&amp;A discussion on writing about science\xe2\x80\xa6 https://t.co/7CZoqA1smp'"

2022-02-17 18:36:14+00:00,b'RT @apsmunro: Good news that the paediatric dose of the Pfizer #COVID19 vaccine (10mcg) is available for families in the UK keen to immunis\xe2\x80\xa6'

2022-02-17 18:36:13+00:00,"b""RT @fightingpride93: I'm a black trans woman without work due to Covid-19 needing help covering costs for food and rent \n\nTo help me, you c\xe2\x80\xa6"""

2022-02-17 18:36:12+00:00,b'RT @TraumaTruth: The study which shows \xe2\x80\x98Immunocompromised children and young people are at no increased risk of severe COVID-19\xe2\x80\x99 https://t.\xe2\x80\xa6'

2022-02-17 18:36:10+00:00,"b""RT @Newsweek: Canadian police are pouring into downtown Ottawa to start cracking down on the truckers who have been occupying the city's st\xe2\x80\xa6"""

2022-02-17 18:36:10+00:00,"b'RT @inquirerdotnet: A group of more than 3,000 doctors and medical professionals in Cebu province has proposed the vaccination of street ch\xe2\x80\xa6'"

2022-02-17 18:36:10+00:00,"b'RT @AP: Police have poured into downtown Ottawa, where protests against COVID-19 measures have clogged the streets for nearly three weeks.\xe2\x80\xa6'"

2022-02-17 18:36:09+00:00,"b'@originalfarmski @LakelifeMarie @USAS_WW1 Your date is 27.07.2021 \nFor Immediate Release:August 23, 2021\n\nToday, th\xe2\x80\xa6 https://t.co/B4nHurCC7B'"

2022-02-17 18:36:09+00:00,b'RT @CBCNews: Some Canadians are at risk of severe COVID-19 complications because of their medical conditions.\nAnd some of those people say\xe2\x80\xa6'

2022-02-17 18:36:08+00:00,b'RT @statsjamie: JCVI - \xe2\x80\x98Over 85% of children 5 to 11 will have had prior Covid infection by the end of Jan. Natural immunity arising from p\xe2\x80\xa6'

2022-02-17 18:36:08+00:00,b'RT @DawnButlerBrent: I\xe2\x80\x99ve written to the Prime Minister outlining my concerns regarding the plan to mark the Queen\xe2\x80\x99s 70-year reign by sendi\xe2\x80\xa6'

2022-02-17 18:36:07+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'

2022-02-17 18:36:07+00:00,"b""RT @hicksyalex: Were JCVI right to approve the vaccine for 5-11 year olds?\nIf no, please sign this:\nPetition: Don't offer covid-19 vaccine\xe2\x80\xa6"""

2022-02-17 18:36:05+00:00,b'RT @Nostopin1: 1/ My uncle just passed from \xe2\x80\x9cCOVID\xe2\x80\x9d pneumonia. He smoked for over 60 years and was in very poor health and had been battlin\xe2\x80\xa6'

2022-02-17 18:36:05+00:00,"b'RT @MSNBC: ""The death toll is still at its second-highest point ever \xe2\x80\x94 2,400 people dying in the U.S. everyday,"" @AriMelber says on the cur\xe2\x80\xa6'"

2022-02-17 18:36:05+00:00,"b'RT @BCGovNews: As we\xc2\xa0ease\xc2\xa0some restrictions,\xc2\xa0people and businesses\xc2\xa0will be going at their own pace. Be respectful and kind. Consider others\xe2\x80\xa6'"

2022-02-17 18:36:04+00:00,"b""RT @Paul_Briley: @COYS_RH @IRStewart1 @pennygosh You shouldn't exercise you're killing your heart! Check this out for treatment\nhttps://t.c\xe2\x80\xa6"""

2022-02-17 18:36:04+00:00,"b'RT @gelliottmorris: Pretty striking: Support for mandatory vaccines in K-12 schools \xe2\x80\x94 not specifically on covid-19, just in general \xe2\x80\x94 is un\xe2\x80\xa6'"

2022-02-17 18:36:02+00:00,"b""RT @NewshubNZ: Sailing great Sir Russell Coutts announces he's joining anti-COVID vaccine mandate protest https://t.co/sMYktiMgCJ"""

2022-02-17 18:36:02+00:00,"b""RT @SAfmnews: The Health Department has welcomed health regulator SAHPRA's approval of Merck's covid 19 treatment pill, Molnupiravir. Howev\xe2\x80\xa6"""

2022-02-17 18:36:01+00:00,b'RT @ChuckCallesto: REPORT: [Reuters] - Pfizer Inc has WITHDRAWN an application for emergency-use authorization of its COVID-19 vaccine in I\xe2\x80\xa6'

2022-02-17 18:36:00+00:00,b'This term was predicted a month ago...\n\nhttps://t.co/vowFHaZ8UV'

2022-02-17 18:36:00+00:00,b'RT @CDCgov: Nursing homes are a primary setting of COVID-19 transmission. #PublicHealthReports research looks at how factors inside these f\xe2\x80\xa6'

2022-02-17 18:35:57+00:00,"b'RT @ONThealth: Capacity limits will be lifted in most indoor public settings where proof of vaccination is required, including restaurants\xe2\x80\xa6'"

2022-02-17 18:35:56+00:00,b'RT @borneo_bulletin: *Updated post\n\n[News Update]\n\nFive COVID-19 patients died today. Two of the deaths are not categorised as death due to\xe2\x80\xa6'

2022-02-17 18:35:55+00:00,b'RT @LizEarleMe: Maybe they could share it with those devastated by the pandemic? Just a thought. https://t.co/T5K3qP8q0n'

2022-02-17 18:35:54+00:00,b'RT @KJ_King16: Covid-19 has destabilized the healthcare system in Ontario so much that the Ford government will be handing many surgeries o\xe2\x80\xa6'

2022-02-17 18:35:53+00:00,b'Is it still COVID-19 or should it be COVID-21 now?'

2022-02-17 18:35:53+00:00,b'RT @Patriotgirl0000: Did I read this right?\n\n\xe2\x80\x9cunvaccinated truckers bringing COVID-19 vaccines and medical devices into Canada exempt from\xe2\x80\xa6'

2022-02-17 18:35:53+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:35:51+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:35:51+00:00,b'RT @DonaldLepp: According to the Manitoba Covid Dashboard there are \xe2\x80\x9cZero\xe2\x80\x9d out breaks in schools and (as it has been since Christmas) \xe2\x80\x9cPeop\xe2\x80\xa6'

2022-02-17 18:35:50+00:00,"b""@AmandaKvalsvig \xe2\x80\x9cThe pandemic will come to an end in the next six to 12 months.\n\nThat's not to say Covid-19 will di\xe2\x80\xa6 https://t.co/LJswAYw8h0"""

2022-02-17 18:35:49+00:00,"b'RT @highcountrynews: COVID-19 has exacerbated almost every inequity in Indian Country, but Tribes are now using data sovereignty to combat\xe2\x80\xa6'"

2022-02-17 18:35:49+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:35:48+00:00,b'RT @CDCDirector: NEW: @CDCMMWR study found that people who received a primary mRNA #COVID19 vaccine series during pregnancy reduced the ris\xe2\x80\xa6'

2022-02-17 18:35:48+00:00,"b""RT @Newsweek: Canadian police are pouring into downtown Ottawa to start cracking down on the truckers who have been occupying the city's st\xe2\x80\xa6"""

2022-02-17 18:35:47+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 18:35:45+00:00,b'@DanielFooksArt @miserablelib @jimmy_dore \nDoctors who say on twitter that the vaccines have side effects get block\xe2\x80\xa6 https://t.co/pIqsi4NMbZ'

2022-02-17 18:35:45+00:00,"b'RT @ABC: About 80 million Americans are still unvaccinated, and more than half of those who are eligible to receive a booster shot have yet\xe2\x80\xa6'"

2022-02-17 18:35:44+00:00,"b'What to do with masks is newest distraction from the critical intervention that will save the most lives , protect\xe2\x80\xa6 https://t.co/Ex8UQBuZRn'"

2022-02-17 18:35:43+00:00,"b'RT @MSF_USA: This Valentine\xe2\x80\x99s Day, will you join us in sending a message of love and gratitude to the Doctors Without Borders medical teams\xe2\x80\xa6'"

2022-02-17 18:35:43+00:00,"b""As of March 1, the mandatory vaccination passport will no longer need to be presented in order to access the Y's he\xe2\x80\xa6 https://t.co/YG7ep1exLR"""

2022-02-17 18:35:42+00:00,"b'@MaciejStelmach6 @bennyjohnson Maciej, your assumption is misguided. Again, a virus can be highly contagious, that\xe2\x80\xa6 https://t.co/LNwtulIsvJ'"

2022-02-17 18:35:42+00:00,"b'RT @TorontoStar: Ontario reports 1,342 in hospital, 356 in ICU due to COVID-19 https://t.co/mwPY3VophL'"

2022-02-17 18:35:41+00:00,"b'Russian official pushes back, ruble\xc2\xa0weakens https://t.co/Abk4zjA6uN'"

2022-02-17 18:35:40+00:00,"b'RT @David__Osland: Matt Hancock, MP for Newmarket, gave Jockey Club director Dido Harding a huge Covid-19 testing contract. She subcontract\xe2\x80\xa6'"

2022-02-17 18:35:39+00:00,"b""RT @LifeLabs: Find out if you've ever had COVID-19 through an Antibody test. This blood test depicts prior infection, even if you never exp\xe2\x80\xa6"""

2022-02-17 18:35:39+00:00,"b'RT @Associationlux: .@WHO #Iran: #COVID19 Fatalities Surpass 507,400 https://t.co/mHncht88bi\n\n#Luxembourg https://t.co/gg6cKoNnvI'"

2022-02-17 18:35:39+00:00,b'RT @LawrenceGilder: #DailyCovidUpdate | @Join_ZOE Symptom Study [17 Feb 2022]\n\nThe ZOE COVID-19 Symptom Study App continues to fall.\n\nThe c\xe2\x80\xa6'

2022-02-17 18:35:38+00:00,b'RT @MichaelPSenger: Controlling COVID-19 has always been a lie.'

2022-02-17 18:35:38+00:00,"b'A slick rich kid, Bash Johnson (played by Matthew McConaughey), comes to Arlen and meets Peggy, who is enchanted. A\xe2\x80\xa6 https://t.co/T6urhMGH72'"

2022-02-17 18:35:38+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 18:35:35+00:00,b'RT @ajacquitaylor: 2) A document just released by the U.S. Food and Drug Administration (FDA) openly admits that the infamous PCR test for\xe2\x80\xa6'

2022-02-17 18:35:34+00:00,b'RT @wef: COVID-19 has locked children out of their education with girls at highest risk https://t.co/LtFBPVrrNP https://t.co/Hgt9BaYis7'

2022-02-17 18:35:34+00:00,b'RT @CdnCicero: @emgfind @emilia_suze @OxcartUav @theJagmeetSingh Cuba\xe2\x80\x99s economy is in ruins largely because tourism - critical to generate\xe2\x80\xa6'

2022-02-17 18:35:34+00:00,b'RT @RogerPielkeJr: This is an incredible mess of an article arguing that the idea of a COVID-19 lab leak is conspiracy theory just like cli\xe2\x80\xa6'

2022-02-17 18:35:34+00:00,"b""RT @UN_UAE: #COVID19 forces relief rethink: How are some #UN agencies\xf0\x9f\x87\xba\xf0\x9f\x87\xb3responding to the pandemic from @IHC_UAE the world's largest humanit\xe2\x80\xa6"""

2022-02-17 18:35:33+00:00,b'12 Simple Ways To Stand Up Against COVID-19 Racism https://t.co/wpjkAfBU0i https://t.co/NgQOTSUUtM'

2022-02-17 18:35:33+00:00,b'RT @billboard: Yeonjun of K-pop group TOMORROW x TOGETHER has tested positive for COVID-19.  https://t.co/OjCI9RNVrs'

2022-02-17 18:35:33+00:00,"b""RT @allkpop: (G)I-DLE's Miyeon tests positive for COVID-19\nhttps://t.co/Cfq5w5hjqe"""

2022-02-17 18:35:31+00:00,"b'RT @MatteaMerta: ""I am announcing that as of today all the restrictive measures imposed by COVID-19 are suspended,"" President of the Domini\xe2\x80\xa6'"

2022-02-17 18:35:30+00:00,b'RT @CDCMMWR: New CDC MMWR provides evidence that #COVID19 vaccination during pregnancy might help protect babies younger than 6 months old\xe2\x80\xa6'

2022-02-17 18:35:29+00:00,"b""RT @Newsweek: Canadian police are pouring into downtown Ottawa to start cracking down on the truckers who have been occupying the city's st\xe2\x80\xa6"""

2022-02-17 18:35:29+00:00,"b'@SAfmnews Out with HIV pills and IN with covid 19 pills, \nJoh ra shwa ke pills all our lives,'"

