a,tweets
2022-02-19 14:02:24+00:00,"b'RT @BNODesk: Biden extends national emergency for COVID-19, says the pandemic continues to cause significant risk to public health and safe\xe2\x80\xa6'"

2022-02-19 14:02:22+00:00,"b'Tricity\xe2\x80\x99s #Covid_19 figures for #Saturday\n\n#Chandigarh : 25 cases, 0 death \n#Mohali : 26 cases, 0 death\n#Panchkula:\xe2\x80\xa6 https://t.co/faf1fHoNGS'"

2022-02-19 14:02:20+00:00,"b""I admire Novak for his talent, one of the best of all times, but I don't aprove at all his attitude about covid-19.\xe2\x80\xa6 https://t.co/zHIMt1PML6"""

2022-02-19 14:02:19+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 14:02:19+00:00,b'RT @Parsifaler: 1) A UNIFYING THEORY OF COVID-19 PATHOLOGY: THE SPIKE PROTEIN AS SCLEROTHERAPEUTIC\nTRANSFORMING THE VASCULATURE INTO SCAR T\xe2\x80\xa6'

2022-02-19 14:02:18+00:00,b'RT @OccupyDemocrats: BREAKING: Facebook whistleblower files complaints with the SEC revealing that the social media juggernaut misled inves\xe2\x80\xa6'

2022-02-19 14:02:18+00:00,"b'RT @ImagesByFresh: The GOP are for everything that hurts Americans; they celebrate chaos. \n\nThey are rooting for unemployment, increasing i\xe2\x80\xa6'"

2022-02-19 14:02:17+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:02:17+00:00,"b""RT @WPR: If I don't want my elementary school-age kids to get COVID-19, what's the best way to protect them? What about masks? Do kids need\xe2\x80\xa6"""

2022-02-19 14:02:17+00:00,"b'There have been concerns that vaccines are less effective against #Omicron. However, mRNA #booster shots offer robu\xe2\x80\xa6 https://t.co/nZLGfBMCq7'"

2022-02-19 14:02:16+00:00,"b""We Don't Have to Accept a Bad Flu Season Every Winter https://t.co/Y6u8G3IGxy (#Siguemeytesigo) (#Followback) (#News) (#SDV)"""

2022-02-19 14:02:15+00:00,"b'RT @InvestigatorCps: \xf0\x9f\x98\xa1As we move from Pandemic to Endemic, I will be referring to all new COVID-19 variants as ""MAGA FLU.""\nAre you listenin\xe2\x80\xa6'"

2022-02-19 14:02:13+00:00,"b'RT @ACPinternists: In honor of Black History Month, ACP recognizes the contributions of Kimberly Manning, MD, as she leads the fight to com\xe2\x80\xa6'"

2022-02-19 14:02:13+00:00,"b'MNM, NTK candidates issue a joint statement alleging rigging in their ward 173. They allege they were not allowed i\xe2\x80\xa6 https://t.co/bRivaEkurs'"

2022-02-19 14:02:13+00:00,"b'RT @BNODesk: Biden extends national emergency for COVID-19, says the pandemic continues to cause significant risk to public health and safe\xe2\x80\xa6'"

2022-02-19 14:02:10+00:00,b'RT @TheDietCokeBtn: I remember when people started putting \xe2\x80\x9ccovid 19\xe2\x80\x9d surcharges on tabs and I loved the backlash restaurants got and it qu\xe2\x80\xa6'

2022-02-19 14:02:08+00:00,"b'RT @RepThomasMassie: Is anyone still claiming the COVID shots are anything more than a pretreatment? For heaven\xe2\x80\x99s sake, the U.S. Surgeon Ge\xe2\x80\xa6'"

2022-02-19 14:02:07+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:02:06+00:00,b'RT @SkyNewsAust: The West Australian Premier has conceded that COVID-19 has entered the state and cannot be stopped after several days of r\xe2\x80\xa6'

2022-02-19 14:02:06+00:00,b'Scientists at @McMasterU who have developed an inhaled form of COVID vaccine have confirmed it can provide long-las\xe2\x80\xa6 https://t.co/1rCmbBHGC9'

2022-02-19 14:02:04+00:00,b'RT @AfricaFactsZone: Uganda has given $180.3 million by the World Bank for Covid-19 response and emergency Preparedness project.'

2022-02-19 14:02:02+00:00,b'What the world got right during the Covid-19 pandemic: https://t.co/1HEdcug2x8'

2022-02-19 14:02:02+00:00,"b'RT @SnyderVerse18: DC Comics has been declining since 2017, and COVID-19 and HBOmax same-day releases has nothing to do with it. Proof lies\xe2\x80\xa6'"

2022-02-19 14:02:02+00:00,"b""Heyh I got 2 tickets for sell on Dallas, TX concert for today show Row B, I'll not be enable to attend because due\xe2\x80\xa6 https://t.co/rwlP2PCDVy"""

2022-02-19 14:02:00+00:00,"b""RT @CNN: The antiparasitic drug ivermectin doesn't prevent severe disease from Covid-19 any more effectively than symptom management and cl\xe2\x80\xa6"""

2022-02-19 14:01:59+00:00,"b""RT @Dnichols610: @julicalc @CDCgov I know a doctor where I'm at and he said 8 our of every 10 coming into the ER with Covid-19 symptoms are\xe2\x80\xa6"""

2022-02-19 14:01:57+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:01:56+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:56+00:00,"b'RT @COVIDnewsfast: For those asking what it does ""The emergency declarations have proven critical in equipping hospitals and health systems\xe2\x80\xa6'"

2022-02-19 14:01:55+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 14:01:55+00:00,b'RT @JoeKanter: Higher percentage of patients receiving ivermectin progressed to severe disease than patients not receiving ivermectin.  \n\nh\xe2\x80\xa6'

2022-02-19 14:01:54+00:00,"b'RT @Sean_Shinil_Kim: In Australia, to date, in total, 220 have died from Covid-19 as the sole cause of death, while 765 have died from vacc\xe2\x80\xa6'"

2022-02-19 14:01:54+00:00,"b'RT @N_SturdivantTV: Durham 6th-grader, rap artist provides answers about COVID-19 vaccine for kids through new video and song. @MajorGreen_\xe2\x80\xa6'"

2022-02-19 14:01:53+00:00,"b'RT @K_G_Andersen: This effect is important when we consider ""from"" vs ""with"" COVID-19, because we see that most of the ""with"" group is driv\xe2\x80\xa6'"

2022-02-19 14:01:53+00:00,"b'RT @MLS_Dave: No matter how hard the people in charge try to shut down the COVID-19 numbers because ""The economy"", they can\'t shut down the\xe2\x80\xa6'"

2022-02-19 14:01:53+00:00,"b'RT @RepThomasMassie: Is anyone still claiming the COVID shots are anything more than a pretreatment? For heaven\xe2\x80\x99s sake, the U.S. Surgeon Ge\xe2\x80\xa6'"

2022-02-19 14:01:53+00:00,"b'HELLO! Today is Ben Davis Day, birthday of the barrier-breaking head golf pro at Rackham Golf Course, who also coac\xe2\x80\xa6 https://t.co/FGuHDxDCBG'"

2022-02-19 14:01:52+00:00,"b'RT @WSJ: Research confirms that Covid-19 vaccinations can affect menstrual cycles, with one recent study linking vaccination to a slight in\xe2\x80\xa6'"

2022-02-19 14:01:51+00:00,b'RT @cv_cev: This is a shocking tweet.\n\nIt minimises the threat posed to life by Covid-19. Especially concerning coming from a medical docto\xe2\x80\xa6'

2022-02-19 14:01:50+00:00,"b""RT @COVIDnewsfast: And there are a few more countries but I'll spare you. The point I'm intending to convey is the decision to renew the na\xe2\x80\xa6"""

2022-02-19 14:01:49+00:00,"b'RT @allidoismix: BILL GATES SAYS RISK OF SEVERE COVID-19 HAVE REDUCED, WARNS OF ANOTHER PANDEMIC CAUSED BY ANOTHER PATHOGEN'"

2022-02-19 14:01:49+00:00,"b'RT @ChartsEverglow: Onda was in contact with someone who diagnosed with Covid-19 later,she testes negative but she will be in self-isolatio\xe2\x80\xa6'"

2022-02-19 14:01:49+00:00,"b""RT @Holotropic100: Allegedly COVID-19 is a nocturnal virus,\nI'm done with this SCAM..!\n#NightCurfew"""

2022-02-19 14:01:48+00:00,"b'Thompson POP-UP COVID-19  Vaccine Clinic - Friday, February 25 - 11 am to 3 pm. https://t.co/YnDU01tq34'"

2022-02-19 14:01:48+00:00,"b'New Publication!\n\nPlease read, ""Assistive Technology during the COVID-19 Global Pandemic: The Roles of Government a\xe2\x80\xa6 https://t.co/E8zRE28s70'"

2022-02-19 14:01:46+00:00,b'RT @COVIDnewsfast: Switzerland just recently lifted all COVID-19 protocols. Yet another country in opposite position of US stance on the pa\xe2\x80\xa6'

2022-02-19 14:01:45+00:00,"b""Despite misconceptions, #blendedlearning isn't a radical educational methodology hastily introduced in response to\xe2\x80\xa6 https://t.co/VupKVsaR5b"""

2022-02-19 14:01:45+00:00,"b'@dens_club @hybridverse In practically every industry, Covid-19 has a negative influence. So, how did that affect y\xe2\x80\xa6 https://t.co/lwM16sStlU'"

2022-02-19 14:01:45+00:00,b'RT @Fiona_M_Russell: WHO has just reviewed all the evidence for masks in children. There isn\xe2\x80\x99t any. The evidence is in adults &amp; even then i\xe2\x80\xa6'

2022-02-19 14:01:43+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:43+00:00,"b'@PandaCapital_io @Godlandgame Covid-19 has a bad impact in almost every sector. So, as a crypto projects how did it\xe2\x80\xa6 https://t.co/iHPC2x4G17'"

2022-02-19 14:01:42+00:00,"b'RT @WillSwaim: California Gov. @GavinNewsom refused yesterday to set a date to unmask kids under 18 who, according to State of California,\xe2\x80\xa6'"

2022-02-19 14:01:42+00:00,b'RT @ANI: COVAXIN will be evaluated as a COVID-19 vaccine candidate in the United States: Bharat Biotech https://t.co/llgAZfN02U'

2022-02-19 14:01:42+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:42+00:00,"b'If you\xe2\x80\x99ve got coronavirus, find out more about how to look after yourself at home, including how to check your oxyg\xe2\x80\xa6 https://t.co/ru4TdTbaZy'"

2022-02-19 14:01:42+00:00,"b'RT @StateHealthIN: Along with getting vaccinated/boosted and wearing high filtration masks, testing is one of the best tools to prevent the\xe2\x80\xa6'"

2022-02-19 14:01:42+00:00,"b'To help countries harness standards as tools for #sustainabledevelopment, @UNECE #GenderResponsiveStandards Initiat\xe2\x80\xa6 https://t.co/bcous1rP5L'"

2022-02-19 14:01:41+00:00,b'Get vaccinated for COVID-19 to protect your community! HAP is hosting a vaccine clinic for ages 5+ TODAY from 12pm-\xe2\x80\xa6 https://t.co/bTEB2yqNwL'

2022-02-19 14:01:40+00:00,b'RT @OccupyDemocrats: BREAKING: Republican Michigan State Sen. John Bizon pleads guilty to misdemeanor assault and battery for grabbing and\xe2\x80\xa6'

2022-02-19 14:01:40+00:00,"b'\xe2\x80\x9cIf you\xe2\x80\x99ve ever had COVID-19, you need to be screened for arrhythmia and heart disease,\xe2\x80\x9d cardiologist Dr. Nassir F.\xe2\x80\xa6 https://t.co/jGSKCLj08c'"

2022-02-19 14:01:39+00:00,"b'The @UVMMedCenter and other hospitals in Vermont used a ""small-town dynamic"" to drive high vaccination rates and va\xe2\x80\xa6 https://t.co/BBFgHsLcOB'"

2022-02-19 14:01:39+00:00,"b'@thehill @EricTrump @IvankaTrump @BillGates @HawleyMO Joe Biden has no clue&amp;will destroy our country economically,j\xe2\x80\xa6 https://t.co/Wf7oApgIZO'"

2022-02-19 14:01:39+00:00,"b""As COVID-19 restrictions are easing up across the country, parents are heading back to the office and they're left\xe2\x80\xa6 https://t.co/dkGwruSZzj"""

2022-02-19 14:01:39+00:00,"b""RT @Beyonce: .@BeyGOOD partners with @Jack Dorsey's #startsmall to support COVID-19 relief https://t.co/n6LwqKJW9m https://t.co/GeibDMvC5A"""

2022-02-19 14:01:38+00:00,"b""In our recent blog, we have featured two innovative #startups helping Tunisia's #COVID19 economic and social recove\xe2\x80\xa6 https://t.co/BQ9n0skeOl"""

2022-02-19 14:01:38+00:00,"b'RT @COVIDnewsfast: This is in stark contrast to European ally nations who are getting rid of all COVID-19 restrictions entirely, and claimi\xe2\x80\xa6'"

2022-02-19 14:01:37+00:00,b'How often should #COVID-19 #vaccine exemptions be granted? Uptown News spoke with @ColumbiaMSPH  epidemiology profe\xe2\x80\xa6 https://t.co/AfxyjifOt5'

2022-02-19 14:01:37+00:00,"b'About 97 million more people are living in poverty because of COVID-19, and the loss in human capital wealth global\xe2\x80\xa6 https://t.co/hYn2LMTfab'"

2022-02-19 14:01:36+00:00,"b'Free COVID-19 TESTING\xe2\x81\xa0\nTODAY, February 19, 1:00pm-4:00pm\xe2\x81\xa0\nGoodwill Banksville Rd\n2866 Banksville Rd, Pittsburgh, PA\xe2\x80\xa6 https://t.co/gKemUmcFOL'"

2022-02-19 14:01:36+00:00,b'Looking at our local data on hospitalization due to COVID-19 shows that people who are fully vaccinated are far les\xe2\x80\xa6 https://t.co/5yNAggqL1I'

2022-02-19 14:01:35+00:00,"b'#HappyWeekendDC\n\nFood waste drop off is open!\n\nLocations, times and COVID-19 safety procedures are in the following\xe2\x80\xa6 https://t.co/dviQ40hzgl'"

2022-02-19 14:01:34+00:00,"b'Cases and hospitalizations related to the\xc2\xa0Omicron variant\xc2\xa0may be falling in the United States, but it is a differen\xe2\x80\xa6 https://t.co/ePW6dWn8sS'"

2022-02-19 14:01:33+00:00,"b'RT @RebelNewsOnline: Prime Minister Justin Trudeau is facing criticism online after an unsubstantiated claim that his foundation, the Trude\xe2\x80\xa6'"

2022-02-19 14:01:33+00:00,b'Much of Uniontown\xe2\x80\x99s Black history lives in newspaper clippings and photographs locked away in the older generations\xe2\x80\xa6 https://t.co/h4iI0Zxfgy'

2022-02-19 14:01:32+00:00,b'RT @voxdotcom: What the world got right during the Covid-19 pandemic https://t.co/PbBpSaekT6 https://t.co/kWEIvNw9Kz'

2022-02-19 14:01:32+00:00,"b'Meet Kizzmekia Corbett, the scientist at the forefront of the development of the COVID-19 vaccine.\nhttps://t.co/JvyrWAgxCs'"

2022-02-19 14:01:29+00:00,"b""RT @RepAndyBiggsAZ: COVID-19 uncovered the true freedom-fighters and freedom-takers in our world. \n\nDon't ever forget their names."""

2022-02-19 14:01:29+00:00,"b'RT @newsmax: Thousands of truck drivers are expected to take part in the coast-to-coast ""People\'s Convoy"" to protest government COVID-19 ma\xe2\x80\xa6'"

2022-02-19 14:01:28+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:01:28+00:00,"b'RT @MLS_Dave: No matter how hard the people in charge try to shut down the COVID-19 numbers because ""The economy"", they can\'t shut down the\xe2\x80\xa6'"

2022-02-19 14:01:28+00:00,b'RT @PhuongT36419072: Calling #Henecia from all around the\xf0\x9f\x8c\x8e Please\xf0\x9f\x99\x8ffor Bitna to make a full recovery so she can be with her precious baby bo\xe2\x80\xa6'

2022-02-19 14:01:26+00:00,b'RT @JoeKanter: Higher percentage of patients receiving ivermectin progressed to severe disease than patients not receiving ivermectin.  \n\nh\xe2\x80\xa6'

2022-02-19 14:01:24+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:23+00:00,b'RT @voxdotcom: What the world got right during the Covid-19 pandemic https://t.co/PbBpSaekT6 https://t.co/kWEIvNw9Kz'

2022-02-19 14:01:23+00:00,b'RT @SangkritiMajum1: #BREAKING:\nEuropean and US countries to start preparation for next phase of COVID-19 pandemic: @IndiaToday \n\n#BA2 can\xe2\x80\xa6'

2022-02-19 14:01:23+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:22+00:00,"b'RT @COVIDnewsfast: BREAKING: President Joe Biden has extended the COVID-19 national emergency for the US, citing ""a continued threat to pub\xe2\x80\xa6'"

2022-02-19 14:01:22+00:00,"b'If you are 16+ and not fully Covid-19 vaccinated, there is a walk-in clinic tomorrow at Dawlish Hospital 9am \xe2\x80\x93 1 pm\xe2\x80\xa6 https://t.co/e6emGbs5o3'"

2022-02-19 14:01:21+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:01:21+00:00,"b'RT @PiersRobinson1: What is now happening in #Ottawa is the direct result of a broad-ranging political and economic agenda, being implement\xe2\x80\xa6'"

2022-02-19 14:01:20+00:00,b'the change would make it easier to spot how many patients in a given day are suspected to have contracted Covid-19\xe2\x80\xa6 https://t.co/DBaDBBdajr'

2022-02-19 14:01:20+00:00,b'RT @Niall_Boylan: The IMF expects the COVID-19 pandemic will cost the global economy $12.5 trillion. Can you imagine how many lives could b\xe2\x80\xa6'

2022-02-19 14:01:20+00:00,b'Meanwhile US health officials are considering changing how hospitals report the number of patients who contract Cov\xe2\x80\xa6 https://t.co/Fc8gUIFsCr'

2022-02-19 14:01:19+00:00,"b""RT @SciInsider: The latest verdict is in: Vitamins don't treat COVID-19. https://t.co/TYmBONVyfd"""

2022-02-19 14:01:17+00:00,b'J&amp;K Reports 166 fresh COVID-19 cases\n\nJammu and Kashmir on Saturday reported 166 new positive cases.\n\n103 from Jamm\xe2\x80\xa6 https://t.co/Damru5NVQe'

2022-02-19 14:01:16+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 14:01:16+00:00,b'RT @Frito2x: https://t.co/HwakGIovqI\n\nLifting a mandate 3 days before noncompliants were to be fired means you already coerced everybody yo\xe2\x80\xa6'

2022-02-19 14:01:15+00:00,"b'RT @manilabulletin: Nearly 136,000 minors aged five to 17 have already received their first dose of the COVID-19 vaccine in Taguig.\n\nhttps:\xe2\x80\xa6'"

2022-02-19 14:01:15+00:00,"b'RT @K_G_Andersen: For example, if somebody with heart disease dies of a myocardial infarction three weeks after testing positive for COVID-\xe2\x80\xa6'"

2022-02-19 14:01:14+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-19 14:01:14+00:00,b'RT @CureHipHop: I was told they were 100 percent safe &amp; effective https://t.co/eGle0JWOcO'

2022-02-19 14:01:14+00:00,b'What the world got right during the Covid-19 pandemic https://t.co/PbBpSaekT6 https://t.co/kWEIvNw9Kz'

2022-02-19 14:01:13+00:00,b'NEW DATA OUT \xf0\x9f\x93\x8a: Stay on top of the latest #COVID19 data in over 83 countries with our What\xe2\x80\x99s New\xe2\x80\xafBrief. The January\xe2\x80\xa6 https://t.co/6eg7aMqEd9'

2022-02-19 14:01:12+00:00,"b'RT @inquirerdotnet: With less than five months remaining in office, Finance Secretary Carlos Dominguez III proposed new or higher taxes to\xe2\x80\xa6'"

2022-02-19 14:01:11+00:00,"b'RT @DianeSwonk: \xe2\x80\x9cAlthough this study took place before the COVID-19 pandemic, the numbers are alarming and research has shown the pandemic\xe2\x80\xa6'"

2022-02-19 14:01:10+00:00,"b'COVID-19 vaccines can be given safely at\nany trimester of pregnancy.\nIf you\xe2\x80\x99re expecting, and you haven\xe2\x80\x99t had\nyours\xe2\x80\xa6 https://t.co/eENZybu7UP'"

2022-02-19 14:01:09+00:00,b'RT @MAGAMike1776: Excellent read:\n https://t.co/DKW3HERuzn'

2022-02-19 14:01:09+00:00,b'Preventive measures to be followed while conducting HSLC / HSSLC examination 2022 to prevent the spread of Covid-19\xe2\x80\xa6 https://t.co/HSH9FenVyW'

2022-02-19 14:01:09+00:00,b'@billgates says the chances of catching a severe infection from COVID-19 are dramatically lower but he believes ano\xe2\x80\xa6 https://t.co/VlAZzix8uh'

2022-02-19 14:01:09+00:00,b'RT @CBCMontreal: Protesters arrive in Quebec City to call for measures such as the vaccination passport to be abandoned completely. Meanwhi\xe2\x80\xa6'

2022-02-19 14:01:09+00:00,b'.@POTUS immigrants caring for our sick are essential workers. They help this country deal with COVID-19. Of 14.7 mi\xe2\x80\xa6 https://t.co/y2bAxctp4M'

2022-02-19 14:01:08+00:00,b'RT @Niall_Boylan: The IMF expects the COVID-19 pandemic will cost the global economy $12.5 trillion. Can you imagine how many lives could b\xe2\x80\xa6'

2022-02-19 14:01:08+00:00,"b'RT @talkRADIO: Children aged five to 11 in England are to be offered a Covid-19 vaccine, the government has announced.\n\nIs this appropriate?'"

2022-02-19 14:01:07+00:00,"b'RT @odongaotto: APPRECIATION @KagutaMuseveni ,@JaneRuth_Aceng and entire  team thank you leading Uganda during the COVID 19  Pandemic.The s\xe2\x80\xa6'"

2022-02-19 14:01:07+00:00,"b'RT @ImagesByFresh: The GOP are for everything that hurts Americans; they celebrate chaos. \n\nThey are rooting for unemployment, increasing i\xe2\x80\xa6'"

2022-02-19 14:01:06+00:00,"b'RT @ANI: COVID-19 | Delhi reports 635 new cases, 2 deaths, and 791 recoveries. Active cases 2617. Cumulative positivity rate 5.16% https://\xe2\x80\xa6'"

2022-02-19 14:01:06+00:00,"b'RT @achyuta_samanta: Post 8 | #KIITKISSisOne\n\n""I am a frontline worker during this pandemic COVID-19""\n~Dr Payal Dash https://t.co/vyyPgZ0X0w'"

2022-02-19 14:01:06+00:00,"b'@spectrumlocalnews: COVID-19 Latest: New cases un North Carolina under 5,000, hospitalizations under 3,000 as of Fr\xe2\x80\xa6 https://t.co/lNX9EFg1we'"

2022-02-19 14:01:06+00:00,b'RT @ANI: COVAXIN will be evaluated as a COVID-19 vaccine candidate in the United States: Bharat Biotech https://t.co/llgAZfN02U'

2022-02-19 14:01:06+00:00,"b""RT @EdmJbg: @Kit_Yates_Maths @Sandyboots2020 The end of Covid-19 restrictions in England is premature and 'not based on current evidence',\xe2\x80\xa6"""

2022-02-19 14:01:06+00:00,"b'TONIGHT (2/19): @JohnMorelandOK with @WillJohnsonTX - SEATED SHOW\n7PM Doors, 8PM Show, SOLD OUT\n\nPlease read our CO\xe2\x80\xa6 https://t.co/Mi3c3skEBM'"

2022-02-19 14:01:05+00:00,b'\xf0\x9f\x92\x89 Protect yourself and others and get your COVID-19 booster jab.\n\n You can book an appointment online or find a loc\xe2\x80\xa6 https://t.co/Py4Natg8Ak'

2022-02-19 14:01:04+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:01:02+00:00,"b'RT @newsmax: Thousands of truck drivers are expected to take part in the coast-to-coast ""People\'s Convoy"" to protest government COVID-19 ma\xe2\x80\xa6'"

2022-02-19 14:01:00+00:00,"b'RT @meazaG_: To make matters worse, clinicians in Tigray are reporting a surge in the number of Covid-19 cases. https://t.co/I9ypIUAmWj'"

2022-02-19 14:00:59+00:00,"b'COVID-19 is still out there and is still killing people. Don\xe2\x80\x99t let the virus catch up with you, #GetVaccinated toda\xe2\x80\xa6 https://t.co/ZY58B1VC1u'"

2022-02-19 14:00:59+00:00,b'RT @rparrawong: 9/(18/02) COVID-19 #Peru \xf0\x9f\x87\xb5\xf0\x9f\x87\xaa\n\nSINADEF AL 17/02: desciende\xe2\xac\x87\xef\xb8\x8f https://t.co/l3Yqxs8hlC'

2022-02-19 14:00:59+00:00,"b'RT @K_G_Andersen: Of course, because of highly effective vaccines (\xf0\x9f\x91\x8f), we expect the ratio to shift towards more ""with"" cases.\n\nSeems simpl\xe2\x80\xa6'"

2022-02-19 14:00:59+00:00,"b""https://t.co/hmToK5Y1QF oh this wouldn't have anything to do with Ukraine...\xf0\x9f\xa4\x94"""

2022-02-19 14:00:59+00:00,"b'RT @talkRADIO: Children aged five to 11 in England are to be offered a Covid-19 vaccine, the government has announced.\n\nIs this appropriate?'"

2022-02-19 14:00:59+00:00,"b'Kerala: Decline in new Covid-19 cases; 6,757 new infections, 16 deaths in 24 hrs #covidcasesinkerala\xe2\x80\xa6 https://t.co/85mGf9C2PI'"

2022-02-19 14:00:59+00:00,b'RT @WSJ: New York has become the latest state to delay a mandate for healthcare workers to receive Covid-19 vaccine boosters after warnings\xe2\x80\xa6'

2022-02-19 14:00:58+00:00,"b'RT @BenjaminMMeier: 3,189 Americans died from COVID-19 today,\nas we convinced ourselves the pandemic is over.'"

2022-02-19 14:00:57+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 14:00:56+00:00,b'RT @AHS_media: Studies have found that the vaccine does not affect male fertility\xe2\x80\x94but COVID-19 (the disease) can. If you have questions abo\xe2\x80\xa6'

